6,7,8,9,10,11
0.006,0.010,0.014,0.025,0.040,0.060
0.008,0.012,0.018,0.030,0.048,0.075
0.009,0.015,0.022,0.036,0.058,0.090
0.011,0.018,0.027,0.043,0.070,0.110
0.013,0.021,0.033,0.052,0.084,0.130
0.016,0.025,0.039,0.062,0.100,0.160
0.019,0.030,0.046,0.074,0.120,0.190
0.022,0.035,0.054,0.087,0.140,0.220
0.025,0.040,0.063,0.100,0.160,0.250
0.029,0.046,0.072,0.115,0.185,0.290
0.032,0.052,0.081,0.130,0.210,0.320
0.036,0.057,0.089,0.140,0.230,0.360
